ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-10-15 13:17:37+00:00,32,1,230943,70.47,70.47,70.47,70.47,5,CL.c.0
2024-10-15 13:17:38+00:00,32,1,230943,70.47,70.47,70.47,70.47,8,CL.c.0
2024-10-15 13:17:39+00:00,32,1,230943,70.47,70.47,70.46,70.46,4,CL.c.0
2024-10-15 13:17:41+00:00,32,1,230943,70.46,70.46,70.46,70.46,3,CL.c.0
2024-10-15 13:17:43+00:00,32,1,230943,70.45,70.46,70.45,70.46,7,CL.c.0
2024-10-15 13:17:44+00:00,32,1,230943,70.45,70.45,70.45,70.45,1,CL.c.0
2024-10-15 13:17:47+00:00,32,1,230943,70.45,70.45,70.45,70.45,9,CL.c.0
2024-10-15 13:17:48+00:00,32,1,230943,70.44,70.44,70.42,70.42,13,CL.c.0
2024-10-15 13:17:50+00:00,32,1,230943,70.41,70.43,70.41,70.42,20,CL.c.0
2024-10-15 13:17:51+00:00,32,1,230943,70.42,70.42,70.42,70.42,1,CL.c.0
2024-10-15 13:17:52+00:00,32,1,230943,70.41,70.41,70.41,70.41,1,CL.c.0
2024-10-15 13:17:53+00:00,32,1,230943,70.41,70.41,70.41,70.41,7,CL.c.0
2024-10-15 13:17:54+00:00,32,1,230943,70.4,70.41,70.4,70.41,3,CL.c.0
2024-10-15 13:17:55+00:00,32,1,230943,70.41,70.41,70.41,70.41,2,CL.c.0
2024-10-15 13:17:56+00:00,32,1,230943,70.41,70.41,70.38,70.38,53,CL.c.0
2024-10-15 13:17:57+00:00,32,1,230943,70.38,70.4,70.38,70.4,15,CL.c.0
2024-10-15 13:17:58+00:00,32,1,230943,70.4,70.41,70.39,70.41,12,CL.c.0
2024-10-15 13:17:59+00:00,32,1,230943,70.4,70.41,70.4,70.4,17,CL.c.0
2024-10-15 13:18:00+00:00,32,1,230943,70.41,70.42,70.4,70.4,21,CL.c.0
2024-10-15 13:18:01+00:00,32,1,230943,70.4,70.4,70.4,70.4,8,CL.c.0
2024-10-15 13:18:02+00:00,32,1,230943,70.41,70.41,70.4,70.41,15,CL.c.0
2024-10-15 13:18:03+00:00,32,1,230943,70.41,70.41,70.41,70.41,6,CL.c.0
2024-10-15 13:18:04+00:00,32,1,230943,70.42,70.42,70.42,70.42,3,CL.c.0
2024-10-15 13:18:05+00:00,32,1,230943,70.42,70.43,70.42,70.43,8,CL.c.0
2024-10-15 13:18:06+00:00,32,1,230943,70.44,70.45,70.44,70.44,7,CL.c.0
2024-10-15 13:18:07+00:00,32,1,230943,70.45,70.45,70.45,70.45,2,CL.c.0
2024-10-15 13:18:08+00:00,32,1,230943,70.46,70.47,70.46,70.47,7,CL.c.0
2024-10-15 13:18:09+00:00,32,1,230943,70.47,70.48,70.47,70.48,14,CL.c.0
2024-10-15 13:18:10+00:00,32,1,230943,70.47,70.47,70.47,70.47,3,CL.c.0
2024-10-15 13:18:11+00:00,32,1,230943,70.46,70.48,70.46,70.48,6,CL.c.0
2024-10-15 13:18:12+00:00,32,1,230943,70.47,70.48,70.47,70.48,5,CL.c.0
2024-10-15 13:18:13+00:00,32,1,230943,70.48,70.48,70.46,70.46,22,CL.c.0
2024-10-15 13:18:14+00:00,32,1,230943,70.47,70.47,70.47,70.47,6,CL.c.0
2024-10-15 13:18:15+00:00,32,1,230943,70.47,70.48,70.46,70.47,20,CL.c.0
2024-10-15 13:18:16+00:00,32,1,230943,70.47,70.47,70.47,70.47,1,CL.c.0
2024-10-15 13:18:18+00:00,32,1,230943,70.47,70.48,70.47,70.47,7,CL.c.0
2024-10-15 13:18:19+00:00,32,1,230943,70.47,70.47,70.47,70.47,7,CL.c.0
2024-10-15 13:18:20+00:00,32,1,230943,70.48,70.48,70.48,70.48,2,CL.c.0
2024-10-15 13:18:21+00:00,32,1,230943,70.48,70.48,70.48,70.48,9,CL.c.0
2024-10-15 13:18:22+00:00,32,1,230943,70.48,70.48,70.46,70.46,26,CL.c.0
2024-10-15 13:18:23+00:00,32,1,230943,70.48,70.48,70.47,70.48,10,CL.c.0
2024-10-15 13:18:24+00:00,32,1,230943,70.47,70.47,70.47,70.47,1,CL.c.0
2024-10-15 13:18:26+00:00,32,1,230943,70.48,70.48,70.47,70.47,6,CL.c.0
2024-10-15 13:18:27+00:00,32,1,230943,70.47,70.49,70.47,70.48,9,CL.c.0
2024-10-15 13:18:29+00:00,32,1,230943,70.48,70.48,70.46,70.47,6,CL.c.0
2024-10-15 13:18:30+00:00,32,1,230943,70.48,70.48,70.48,70.48,7,CL.c.0
2024-10-15 13:18:31+00:00,32,1,230943,70.48,70.48,70.48,70.48,2,CL.c.0
2024-10-15 13:18:32+00:00,32,1,230943,70.49,70.5,70.49,70.49,32,CL.c.0
2024-10-15 13:18:33+00:00,32,1,230943,70.49,70.49,70.47,70.47,4,CL.c.0
2024-10-15 13:18:34+00:00,32,1,230943,70.48,70.48,70.48,70.48,7,CL.c.0
2024-10-15 13:18:35+00:00,32,1,230943,70.47,70.48,70.47,70.48,5,CL.c.0
2024-10-15 13:18:36+00:00,32,1,230943,70.47,70.47,70.47,70.47,6,CL.c.0
2024-10-15 13:18:37+00:00,32,1,230943,70.46,70.46,70.46,70.46,2,CL.c.0
2024-10-15 13:18:38+00:00,32,1,230943,70.46,70.46,70.46,70.46,1,CL.c.0
2024-10-15 13:18:39+00:00,32,1,230943,70.47,70.48,70.47,70.48,8,CL.c.0
2024-10-15 13:18:40+00:00,32,1,230943,70.48,70.48,70.48,70.48,3,CL.c.0
2024-10-15 13:18:41+00:00,32,1,230943,70.48,70.48,70.48,70.48,1,CL.c.0
2024-10-15 13:18:42+00:00,32,1,230943,70.47,70.47,70.47,70.47,2,CL.c.0
